test,0,url,timestamp,,
"merto, tramwaj, autobus - obok inwestycji! NEW",522300,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/merto-tramwaj-autobus-+-obok-inwestycji-new/1007303806200911486520009,2020-05-15 19:36,,
Trzy pokoje Metro Jezioro Balaton,550000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/trzy-pokoje-metro-jezioro-balaton/1007303770670911486520009,2020-05-15 19:36,,
"Prezentacja zdalna, dobra komunikacja, nie zwlekaj",420100,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/prezentacja-zdalna-dobra-komunikacja-nie-zwlekaj/1007303770340911486520009,2020-05-15 19:36,,
Saska Kępa | 3 pokoje 54 m2 | KW | Czynsz 480 zł,544500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/saska-kepa-3-pokoje-54-m2-kw-czynsz-480-zl/1007303735570911366864809,2020-05-15 19:36,,
" Mieszkanie na sprzedaż, Warszawa, Praga Południe, Grochów, Prochowa",400000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/mieszkanie-na-sprzedaz-warszawa-praga-poludnie-grochow-prochowa/1007169325740912548838909,2020-05-15 17:36,,
" Mieszkanie na sprzedaż, Warszawa, Praga Południe, Gocław, Abrahama",525000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/mieszkanie-na-sprzedaz-warszawa-praga-poludnie-goclaw-abrahama/1007169265870912548838909,2020-05-15 17:36,,
Garaż na Saskiej Kępie!,31000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/garaz-na-saskiej-kepie/1007307433230912407250109,2020-05-15 22:30,,
2-pokojowe na Pradze-Południe,480000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2+pokojowe-na-pradze+poludnie/1007307337710912407250109,2020-05-15 18:30,,
1-pokojowe z ogrodem na Gocławiu!,440000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/1+pokojowe-z-ogrodem-na-goclawiu/1007307433010912407250109,2020-05-15 03:30,,
Duże 3 pokoje z loggią i ogródkiem!,509900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/duze-3-pokoje-z-loggia-i-ogrodkiem/1007307337450912407250109,2020-05-15 00:30,,
